Date,Attendance,Quarter,Place in Quarter,Temperature,Humidity,Wind Speed,Precipitation,Skyc1,Skyc2,Skyc3
2015-10-13 10:30:00,54,1,0.2716049382716049,51.98,66.04,17.1,0.00,OVC,M,M
2015-10-14 22:30:00,17,1,0.2839506172839506,51.08,58.49,6.8,0.00,SCT,M,M
2015-10-15 23:30:00,0,1,0.2962962962962963,46.04,55.32,6.8,0.00,CLR,M,M
2015-11-18 08:30:00,37,1,0.7160493827160493,60.08,86.18,28.5,0.00,BKN,BKN,OVC
2015-10-21 22:00:00,50,1,0.37037037037037035,62.96,80.93,6.8,0.00,FEW,BKN,OVC
2015-12-26 11:00:00,0,0,0,41.00,92.59,8.0,0.07,OVC,M,M
2015-11-07 20:30:00,21,1,0.5802469135802469,39.92,62.21,8.0,0.00,CLR,M,M
2015-12-27 14:00:00,0,0,0,35.96,81.72,20.5,0.00,BKN,BKN,OVC
2015-09-19 15:30:00,114,0,0,69.98,40.59,12.5,0.00,BKN,M,M
2015-09-21 10:00:00,101,1,0.0,66.92,52.35,4.6,0.00,FEW,M,M
2015-10-28 20:00:00,117,1,0.4567901234567901,41.00,67.09,20.5,0.00,BKN,M,M
2015-11-15 20:00:00,71,1,0.6790123456790124,53.96,48.65,11.4,0.00,BKN,M,M
2015-12-20 07:30:00,0,0,0,33.98,75.20,13.7,0.00,OVC,M,M
2015-11-26 20:00:00,0,1,0.8148148148148148,59.00,80.64,19.4,0.00,OVC,M,M
2015-12-24 09:30:00,0,0,0,37.04,72.24,17.1,0.00,FEW,BKN,M
2015-10-09 19:30:00,36,1,0.2222222222222222,53.06,71.40,4.6,0.00,SCT,M,M
2015-09-13 16:00:00,55,0,0,69.08,40.45,5.7,0.00,FEW,FEW,M
2015-09-30 18:00:00,120,1,0.1111111111111111,55.04,63.72,13.7,0.00,FEW,M,M
2015-10-11 20:30:00,56,1,0.24691358024691357,69.98,43.75,17.1,0.00,CLR,M,M
2015-12-31 11:00:00,0,0,0,26.06,71.04,13.7,0.00,BKN,M,M
2015-10-10 09:00:00,50,1,0.2345679012345679,55.04,68.73,9.1,0.00,FEW,BKN,M
2015-09-08 16:30:00,37,0,0,73.94,90.73,9.1,0.00,SCT,SCT,OVC
2015-10-16 17:00:00,167,1,0.30864197530864196,48.92,42.22,10.3,0.00,FEW,SCT,M
2015-09-28 20:00:00,244,1,0.08641975308641975,71.96,78.57,6.8,0.00,OVC,M,M
2015-11-29 18:30:00,0,1,0.8518518518518519,37.04,81.80,6.8,0.00,FEW,BKN,BKN
2015-10-23 14:30:00,142,1,0.3950617283950617,60.08,64.35,13.7,0.00,BKN,BKN,OVC
2015-10-31 08:30:00,34,1,0.49382716049382713,44.96,89.56,9.1,0.01,OVC,M,M
2015-11-05 13:30:00,57,1,0.5555555555555556,68.00,60.77,20.5,0.00,FEW,BKN,BKN
2015-09-28 18:30:00,154,1,0.08641975308641975,73.94,73.49,3.4,0.00,OVC,M,M
2015-10-06 19:30:00,106,1,0.18518518518518517,59.00,80.64,6.8,0.00,FEW,M,M
2015-10-18 17:30:00,40,1,0.3333333333333333,53.06,34.89,4.6,0.00,CLR,M,M
2015-11-10 15:00:00,59,1,0.6172839506172839,53.06,42.58,6.8,0.00,FEW,SCT,M
2015-09-07 13:00:00,0,0,0,86.00,58.91,10.3,0.00,FEW,BKN,BKN
2015-10-07 06:00:00,5,1,0.19753086419753085,57.92,90.11,3.4,0.00,BKN,M,M
2015-10-19 17:30:00,160,1,0.345679012345679,69.98,30.95,20.5,0.00,FEW,BKN,M
