Day of Week,Time,Attendence,Place in Quarter,W1,W2,W3,W4,W5,W6,W7,W8
2,2330,Not Crowded,2,0.2972972972972973,24.98,71.47,9.1,0.00,FEW,M,M
1,1400,Moderately Crowded,2,0.47297297297297297,28.04,74.61,11.4,0.00,BKN,BKN,OVC
1,1830,Pretty Crowded,2,0.3783783783783784,33.08,88.37,5.7,0.00,FEW,M,M
5,2230,Not Crowded,0,0,26.96,74.50,12.5,0.00,FEW,BKN,M
5,1000,Not Crowded,4,0,75.02,49.81,0.0,0.00,FEW,BKN,M
6,1830,Moderately Crowded,1,0.14814814814814814,48.02,92.81,14.8,0.00,SCT,BKN,OVC
3,2000,Not Crowded,0,0,39.02,95.86,11.4,0.00,OVC,M,M
7,1530,Not Crowded,2,0.8378378378378378,51.08,56.05,20.5,0.00,FEW,SCT,OVC
3,730,Not Crowded,0,0,57.92,66.75,3.4,0.00,BKN,OVC,M
6,900,Not Crowded,4,0,66.92,58.65,16.0,0.00,FEW,SCT,M
6,1030,Moderately Crowded,1,0.6666666666666666,46.04,43.34,11.4,0.00,BKN,M,M
7,600,Not Crowded,0,0,64.94,96.90,0.0,0.00,OVC,M,M
1,1600,Moderately Crowded,4,0,82.04,58.40,11.4,0.00,FEW,SCT,BKN
1,1730,Jam Packed Very Crowded,3,0.47297297297297297,64.04,62.71,11.4,0.00,FEW,SCT,SCT
4,930,Not Crowded,1,0.38271604938271603,57.02,63.97,9.1,0.00,FEW,BKN,BKN
6,1900,Not Crowded,4,0,80.96,50.68,12.5,0.00,SCT,BKN,M
1,700,Not Crowded,4,0,68.00,93.38,12.5,0.11,FEW,SCT,BKN
3,1630,Moderately Crowded,0,0,75.92,35.81,9.1,0.00,FEW,M,M
3,1300,Moderately Crowded,1,0.6296296296296297,62.06,62.04,19.4,0.00,SCT,BKN,M
3,900,Not Crowded,2,0.5945945945945946,26.06,65.21,6.8,0.00,SCT,M,M
6,1200,Moderately Crowded,3,0.3424657534246575,57.02,59.31,6.8,0.00,FEW,FEW,M
1,1730,Not Crowded,3,0.5675675675675675,66.02,54.01,17.1,0.00,SCT,SCT,M
6,2130,Not Crowded,0,0,23.00,74.09,6.8,0.00,SCT,M,M
6,2100,Not Crowded,2,0.25675675675675674,26.06,74.41,6.8,0.00,FEW,FEW,M
7,2330,Not Crowded,4,0,69.08,89.98,6.8,0.35,FEW,BKN,OVC
4,1000,Not Crowded,0,0,84.92,60.98,9.1,0.00,SCT,SCT,SCT
2,800,Not Crowded,3,0.10810810810810811,39.02,85.55,13.7,0.00,OVC,M,M
2,1630,Moderately Crowded,3,0.20270270270270271,64.94,16.20,8.0,0.00,FEW,BKN,M
